,sentence,aspect_term,polarity,from,to
420,"Short of being invited to a Filipino home for dinner, Elvie's is the closest you'll get to tasting Filipino delights.",dinner,neutral,46,52
421,"The Scene There are no rules at Sarge's: It's open 24/7 and serves every kind of food--from potato latkes to chicken and ribs--to every kind of customer, from businesspeople at breakfast to recuperating club kids at 4am.",breakfast,neutral,177,186
422,"The crowd was non-existent on the Wednesday we went, which had the advantage of no wait for our table (even though we called an hour early and they said they only have a reservation for 9:00 pm).",crowd,positive,4,9
423,"I had lunch with 3 friends of mine, all ordered different pasta dishes and we all loved each of ours!",lunch,neutral,6,11
424,"When I went in for dinner this Sunday, after a 2 month absence, I noticed their addition of table cloths, which really add to the ambiance and I noticed that their wine list has been expanded.",dinner,neutral,19,25
425,"$25 prix fixe sounds like a good deal, but dinner was still $100 for two, the portions were small, and the ($35) wine, clearly where the money is made, mediocre.",prix fixe,neutral,4,13
426,The manager sent us a complimentary glass of wine for the steak not being cooked like he wanted.,manager,negative,4,11
427,"I like the ambience , it 's very dark and original .",ambience,positive,11,19
428,"The waitress came to our table once for our order, but then we were tended to by who I thought was the hostess.",waitress,negative,4,12
429,"The portions are not HUGE, but you are very full by the end of your meal.",portions,negative,4,12
430,Later in the evening after our meal we finally found the real owner behind the bar of the restaurant and explained to him the situation which he had been made aware of by the waitress.,meal,neutral,31,35
431,"We asked for our check (to pay for our drinks and leave), and received the quickest service all evening.",service,positive,84,91
432,"For the price you pay, you get good quality and deliciously thin sliced beef.",price,neutral,8,13
433,Service is wonderful- I've sat there for over 3 hours at dinner and never felt rushed to leave.,dinner,neutral,57,63
434,"No matter what you order, you're almost certain to get so much food you'll be leaving with a doggie bag.",food,positive,63,67
435,"I had the pasta special, which had tremendous amount of seafood.",seafood,positive,56,63
436,"When I read some of the reviews in this section, I am not sure if they had diner in the same restaurant and also I would not be suprise if they decided to have their Branzino well done with butter on the side.",butter,positive,190,196
437,"One friend had the steak which he didn't care for, but after waiting so long to be seated he was hungry.",waiting,negative,61,68
438,"This is not haute cuisine, but that' part of what I love about it - it has an honest, intimate feel with no pretensions, just like eating in an Italian family's home.",cuisine,negative,18,25
439,i went in one day asking for a table for a group and was greeted by a very rude hostess.,hostess,negative,80,87
440,"I would recommend the Risotto with pear and spinach, the lasagna, and the salads.",Risotto,positive,22,29
441,"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",lights,neutral,42,48
442,One should not go to Lucky Strike for the food.,food,negative,42,46
443,"Considering their price of $ 6.25 for lunch special , the dish was ridiculously small .",price,negative,18,23
444,While we enjoyed the appetizers (kobe beef quesadillas and a mix of fries) the burgers themselves were not nearly as good.,appetizers,positive,21,31
445,"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",Scene,neutral,4,9
446,"The waiters do not pay any attention to the customers, instead sit at the bar and watch TV.",waiters,negative,4,11
447,The location and ambience is Ok but the food is what makes up for it.,food,positive,40,44
448,"Some of the waiters are lacking good communication skills, but that can be overlooked in light of the great food and prices.",waiters,negative,12,19
449,"Our server seemed out of it, and drinks took 15 minutes to arrive.",drinks,neutral,33,39
450,Get in before peak dinner time (7-8 PM) to avoid harried service.,service,negative,57,64
451,"Their Billy-Cheese steak sandwich is very good, too, but last I was there it wasn't on the menu, at least not for dinner anyway.",menu,neutral,91,95
452,"When our turn came to get in, we were told that the place was full due to the Labor Day weekend and we could not get inside unless we bought a 200$ bottle of vodka.",vodka,neutral,158,163
453,"All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",sushi,positive,66,71
454,"Recently a seafood dish was so salty that that one flaw overshadowed otherwise excellent 'side' dishes, apps desert.",'side' dishes,positive,89,102
455,Our hostess was more concerned about the appearance of the banquets than wether we had the right menus.,menus,neutral,97,102
456,"My wife and I will usually only order one primi and one secondi and split them , as they tend to offer large portions .",primi,positive,42,47
457,"Had 1 appetizer , 2 entrees and 2 cokes and the bill was ~ $ 55.00 , not including tip .",appetizer,neutral,6,15
458,They do n't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .,specials,negative,41,49
459,"During the day, the sushi bar can be backed up a bit (thanks to their unbeatable lunch specials) so order early.",sushi bar,neutral,20,29
460,The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).,steak dish,negative,65,75
461,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,21,32
462,"My water was filled like eight times, good, fast service.",water,neutral,3,8
463,"Although the service can be a bit brusque at times, the food is always good, hearty and hot.",service,negative,13,20
464,"The steak, duck and soft shell crab are musts for dinner and almost every side dish was great.",dinner,neutral,50,56
465,"During the day, the sushi bar can be backed up a bit (thanks to their unbeatable lunch specials) so order early.",lunch specials,positive,81,95
466,"One night we landed at the bar for a late night dinner, and the hanger steak and frites w/ marjoram aioli was the BEST.",hanger steak,positive,64,76
467,Service was also horrible and the ambience is not that great.,Service,negative,0,7
468,Could have gone to Pastis for a salad three times the size for the same price.,salad,neutral,32,37
469,And to end the meal try some hazelnut gelato.,meal,neutral,15,19
470,"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",staff,positive,4,9
471,The server was really cool and served us our food and drinks with a smile.,food,neutral,45,49
472,"At best, it's a mediocre restaurant, forget about the fish variety, I asked for Char (A sushi staple), and received a blank look from the waiter, same fish here as any grocery store.",waiter,negative,138,144
473,"Although we arrived at the restaurant 10 min late, the hostess did not have a table for us.",hostess,negative,55,62
474,"Unfortunately, our waiter set quite a different tone; he disappeared until the end of our meal, when we had to beg for coffees and desserts.",meal,neutral,90,94
475,"My husband said he could 've eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",french fries,positive,105,118
476,check it out but i cant narrow down what to order cause Ive always had v good food from pastas to fish!,pastas,neutral,88,94
477,"Do n't judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",place,positive,18,23
478,"Food was good, but for the price of a plate of pasta here, four raviolis doesn't cut it as an entre for a big guy.",plate,neutral,38,43
479,the fillet minion was a little too salty and the chicken was average but the side dishes with each meat was amazing.,fillet minion,negative,4,17
480,"Yes, the prices SEEM afordable, but the portions are so small that you end up spending $100+ just to fill 2 people and get a couple drinks.",drinks,neutral,132,138
481,The ambiance and service is great but I wish I could say the same about the food.,food,negative,76,80
482,"Their service needs some work, but it is safe to say that you will enjoy the food.",food,positive,77,81
483,This is one great place to eat pizza more out but not a good place for take-out pizza.,take-out pizza,negative,71,85
484,For dinner: I always go for the fish and it's always cooked just right.,dinner,neutral,4,10
485,"i would not go after the early bird b/c its not worth it, find better food for full prices.",prices,negative,84,90
486,"If you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place,positive,87,92
487,"Be prepared to make friends with the people sitting next to you, tight seating.",seating,negative,71,78
488,"we had to wait at the bar for a table, but the atmosphere is bustling and is well worth it.",bar,neutral,22,25
489,"We arrived for dinner expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!",dinner,neutral,15,21
490,The prices did not reflect the quality of the meal.,prices,negative,4,10
491,"Warning Service is decent, but it takes forever to get the check.",Service,positive,8,15
492,"Opt for the spectacular Emperor's Meal, a multi-course tasting menu loaded with velvet-textured pumpkin soup, mesclun greens sparked by a simple but savory sesame-soy vinaigrette, crispy sauteed tofu noodles and steamboat soup, a heady clear-broth crock of cabbage, carrots, watercress, mushrooms, walnuts, dates and cherries.",steamboat soup,neutral,212,226
493,"One oversight: the gf wanted tea to go along with the plate of yummies they gave me, but the server forgot to bring it since we took our time to finish the wine.",plate,neutral,54,59
494,"We were seated quickly (and had reservations, but they didnt seem to be absolutely necessary) and our waitress offered much insight into menu bests and worsts.",waitress,negative,102,110
495,"To top it off, when we mentioned it to our lovely waitress, she responded as though it was no big deal along with Well now you know for the next time.",waitress,positive,50,58
496,The snooty manager asked us to leave and gave us our check in the middle of our meal.,meal,neutral,80,84
497,"All of the dishes we had were very good, but the fries were a little on the salty side, which we actually didn't mind.",fries,negative,49,54
498,"Our waitress had apparently never tried any of the food, and there was no one to recommend any wine.",food,neutral,51,55
499,"The Scene The consistent lines at this bustling Japanese tapas hot spot don't lie: Yokocho's fresh, reasonably priced comfort food and social atmosphere draw a youthful clientele of cultural natives and gaijin alike.",priced comfort food,positive,111,130
500,"I ordered the empanadas sampler, crab croqueta, and something else I don't remember but I remember (all appetizers) thinking this was the best Cuban meal I had ever eaten.",crab croqueta,neutral,33,46
501,"Horrible service, below average cuisine, asked to leave the table before finishing our wine, and forced to have our port at the bar.",wine,neutral,87,91
502,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,86,93
503,We objected at the ill flavor of the drinks and the manager was not understanding at all.,drinks,neutral,37,43
504,"When one purchases a bottle of wine, it's fairly common practice for a server to come by and refill your glass, but not the case here; 2.",server,negative,71,77
505,"The red sauce had no flavor, the cheese lacked that fresh quality cheese taste you expect from a well-known pizzaria, and the slice overall was really dry.",flavor,negative,21,27
506,"Terrible, terrible management - deserves to be shut-down.",management,negative,19,29
507,Really Lovely dining experience in the midst of buzzing midtown area.,dining experience,positive,14,31
508,"I've never been during the dinner rush, whence I think most of the service complaints originate.",dinner,neutral,27,33
509,Everything about this place is adorable - even the bathroom!,bathroom,positive,51,59
510,I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ... ),PLACE,positive,58,63
511,"The wine was great and they kept bringing us bread, these were the two best things about the meal.",bread,neutral,45,50
512,I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,dining area,neutral,93,104
513,"it did fill up pretty quickly for lunch, but nobody seemed to have to wait too long, and i'm guessing they might be less busy for dinner.",lunch,neutral,34,39
514,Prices too high for this cramped and unappealing resturant.,Prices,negative,0,6
515,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",dinner,positive,86,92
516,"After 45 mins of waiting in an sans air conditioned bar, we grew tired of paying for over-priced drinks.",bar,neutral,52,55
517,The location and ambience is Ok but the food is what makes up for it .,location,neutral,4,12
518,"The Food In a less-than-booming economy, it's a joy to find an East Village bistro with entrees that rarely top 15 bucks.",entrees,neutral,88,95
519,I had a burger which was great and my wife had a steak.,steak,neutral,49,54
520,The bruschetta and panini 's are so yummy !,bruschetta,positive,4,14
521,"The problem is that if you want anything to continue the meal, if you need an extra minute to go over the menu, or if, horrors, you want the check, you might be in for a lengthy wait.",menu,neutral,106,110
522,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",cod,neutral,74,77
523,"Everything is excellent , the menu is quite extensive , and you eat with a view on both sides of the city .",menu,positive,30,34
524,The food has been consistant for years and it never lets you down .,food,positive,4,8
525,"And then he'll forget to bring your drink every time you order one, won't pay attention to your table of 8, will give you unwarranted attitude, and never be friendly or smile.",drink,neutral,36,41
526,"The space was unique (even though looking out the skylight windows on a tenament was a bit odd) and the service, happily, was fine.",space,positive,4,9
527,The waitstaff is helpful and they'll get your favorite meats to circle your table more often if you just ask.,waitstaff,positive,4,13
528,"We started at the bar with a nice bottle of wine, which was priced fairly and sampled several different cheeses.",bar,neutral,18,21
529,"If you go to Roth 's try to be served by Mike , he is GREAT !!",served,positive,31,37
530,"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.",pasta dishes,negative,121,133
531,"Now, I expressed my surprise and then the bartender and manager chimed in with a simpleton's remark sir, with restaurants at this time, reservations start coming in.",manager,negative,56,63
532,"The House salad is big enough to split, The Fried Calamari is some of the best I ever ate, the bowties broccoli, broccoli rabe, square slices, broiled filet of sole, clam sauce.",slices,neutral,135,141
533,"The atmosphere takes you to that place, the place many dream of.",atmosphere,positive,4,14
534,"After being seated at an outdoor table on a 45 degree tilt, the surly waitress gave us menus.",seated,neutral,12,18
535,"The menu is Prix Fixe , so be prepared to spend at least $ 60 per person , but it is Well worth itsuperb food .",Prix Fixe,neutral,12,22
536,"We were put on the wait list, seated in 15 min after a quick drink at the bar and had an incredibly entertaining waiter and dined next to a few regulars who raved.",wait list,neutral,19,28
537,"The food wasn't overwhelming, but was very tasty, and the space wasn't overcrowded or obnoxious - the waiters and waitresses were attentive and helpful, but not obtrusive.",space,positive,58,63
538,The pieces were small but the fish was good quality and there wasn't a lot of rice to mess with.,quality,positive,44,51
539,"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.",table,neutral,21,26
540,"In the front bar, boisterous neighbors and friends share bottles of wine; the large dining room, with its lovely painted ceiling and oversized portrait of a portly chef, is the destination for serious eating.",painted ceiling,positive,113,128
541,"I have been a longtime fan of Holy Basil in the East Village , and while I do believe their food has slightly slipped in quality , I have been hesitant to be disloyal .",food,negative,92,96
542,"When we sat down, the waiter barely looked in our direction and abruptly shoved our menus on the table.",menus,neutral,84,89
543,I 've had pizza both times and the caprese salad appetizer .,pizza,neutral,10,15
544,"For breakfast there are a wide variety of whole grain pancakes; pumpkin is my favorite, blueberry second!",breakfast,neutral,4,13
545,The $9 glass of wine which the waitress called good was like grape juice with alcohol and no sugar.,waitress,negative,31,39
546,We made reservations for 6pm on Friday and it was not necessary BUT the place got packed really quick around 7-8pm.,place,negative,72,77
547,"I ordered their famous buffalo steak which originally would come with homemade potatoe gnocchi but I chose the sauteed spinach with garlic instead, which turned out to be exceptional.",potatoe gnocchi,neutral,79,94
548,"The environment is a touch loud (although the music's good), but the walls sport nifty vintage items, from license plates to pennants to movie posters.",plates,neutral,115,121
549,The photos of the restaurant in its web site are way better than the real look .,look,negative,74,78
550,The waiters were getting a wine class from a very loud manager and ignoring all the patrons - someone should have been giving them a class on serving instead.,waiters,neutral,4,11
551,This was the worst dining experience I've ever had.,dining experience,negative,19,36
552,"For spending over $100 per person for dinner, i would think that the waiter would put my plate of food down for me instead of handing me my dish.",waiter,negative,69,75
553,Their Brunch must be good too if it's Sangria included.,Sangria,neutral,38,45
554,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",dim sum,negative,4,11
555,"The characters were very entertaining, and while the prices are a little steep, it is well worth the cost.",characters,positive,4,14
556,"Besides the price, here are some other annoyances: bleaching the floors during the dinner and automatically charging you 20% gratuity on your credit card without your knowledge.",dinner,neutral,83,89
557,The prices were very resonable when you don't factor in the cost of beer (which seemed to be on the high side).,cost of beer,neutral,60,72
558,This place has many different styles of pizza and they are all amazing .,styles of pizza,positive,30,47
559,"Only wine and beer are served , but the house varities are actually quite good .",served,negative,23,29
560,"In Short This old-fashioned luncheonette, festooned with artificial flowers and signs touting the cherry lime rickeys, egg creams and banana-walnut pancakes, is favorite pitstop for folks visiting the Brooklyn Museum and Botanical Gardens.",cherry lime rickeys,positive,98,117
561,"For appetizers, we shared summer rolls and spring rolls - they were good, not great.",spring rolls,positive,43,55
562,"The mussels and frits were great, but the host had an attitude and my friends and I waited about 1 1/2 hours to be seated on a random Tues.",host,negative,42,46
563,The staff knows all about the food and the Chef is very visible visiting tables and overseeing the dining room.,food,neutral,30,34
564,"I've eaten at this Zen Palate location a few times, and each time have had the same reaction- I feel the food's sub-par, but decide to give it another chance and order something else.",food,negative,105,109
565,"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",restaurant,positive,81,91
566,we told the waitress and she told us that we ordered the dead fish as opposed to the swimming fish.,waitress,negative,12,20
567,"The dessert ( we had a pear torte ) was good - but , once again , the staff was unable to provide appropriate drink suggestions .",staff,negative,70,75
568,"servers never ONCE asked how we were doing - they brought out food late and if extra additions were requested, they came out 20 min after.",food,neutral,62,66
569,This restaurant has taken the trend of serving tiny portions on oversized plates to a new level.,plates,negative,74,80
570,The establishment scores big points in presentation and style.,establishment,positive,4,17
571,One of my favorite places to get a cup of tea or to have a casual brunch with the newspaper.,places,positive,19,25
572,The owner asked the waitress what I said and then proceeded to shout profanity at me from the entrance of the caf.,owner,negative,4,9
573,Highly suggest you sit at the bar for added atmosphere and generally friendly people.,atmosphere,positive,44,54
574,"she never once checked on us after serving our drinks, we asked another waitress about our sandwiches, she attempted to check on them but didn't really get an answer.",waitress,negative,72,80
575,"The well mannered , pleasant staff that Tony has in his employ .",staff,positive,29,34
576,My steak au poivre was one of the worst I've had.,steak au poivre,negative,3,18
577,We told the waitress we'd like the fries hot with our main courses but she only ordered more once the rest of the food had arrived so we didn't get them until we were half way through.,waitress,negative,12,20
578,The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,negative,4,9
579,"We waited half an hour just to get menus, and watched another table of 10 people leave because they had been ignored by the (single) waiter.",menus,neutral,35,40
580,"The sign outside said, 26 beers on tap, however the bartender was unable to pull a pint from any of them.",bartender,negative,52,61
581,Waiter dropped check on table while I was in the middle of handing my wife her anniversary present.,Waiter,negative,0,6
582,"the duck is not freshly roasted, it has been sitting under the IR lamp for hours, skin is not crispy.",lamp,neutral,66,70
583,Their menu has just been updated featuring new rolls and more choices.,new rolls,positive,43,52
584,"drink, share your delicious entree's and then head to the bar to mingle.",entree,positive,28,34
585,"The Pad Thai is excellent here , as well .",Pad Thai,positive,4,13
586,Our tiny table for two ( dinner plates hung over edge ) was right in the middle of one of the lanes of waiter traffic .,table,negative,9,14
587,All of the pizzas are terrific and the price is even better !,pizzas,positive,11,17
588,"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",bathroom,negative,73,81
589,"After being seated by a very kind, but quite stressed, young lady, we took in the room and menu.",seated,neutral,12,18
590,I have been back for several dinners and lunchs and especially like the terrace when weather permits.,dinners,neutral,29,36
591,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",chicken dish,negative,28,40
592,Each course was accompanied by a new wine.,wine,positive,37,41
593,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone .,spinach mushroom calzone,negative,68,94
594,We ate at this Thai place following the reviews but very unhappy with the foods.,foods,negative,74,79
595,"For an entree I should have been more adventurous, but every menu item that aroused my interest had some form of pork in it (ham, bacon, prosciutto, you name it), most of the time superfluously, I went for the Portabello sandwich.",entree,positive,7,13
596,the food at this humble bastion of venezuelan home cooking is delicious-AND-authentic (how does this place rate only a 19 in zagat's?,home cooking,neutral,46,58
597,"I came across Village Underground by accident , now I go there all the time .",Village Underground,positive,14,34
598,Warm and friendly in the winter and terrific outdoor seating in the warmer months .,outdoor seating,positive,45,61
599,The hostess was snooty since we did not have a reservation but the rest of the dining experience amply made up for it.,hostess,negative,4,11
600,"They serve food with an entire loaf of freshly-baked bread, crusty on the outside and unbelievably warm and gooey in the center.",bread,positive,53,58
601,"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent !!",people,negative,57,63
602,The menu is pricey and the food was not tasty - except for the tostones with garlic and oil.,menu,negative,4,8
603,"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.",appetizers,neutral,9,19
604,"Tuesdays are Wine Lovers nights, where everything on their wine list is half off - it's a great deal.",wine list,positive,59,68
605,And they provided a delicious dessert on the house !,dessert,positive,30,37
606,"Apparently, the waitress informed us that they change the menu at 5 Ninth every few days, which kind of explains the hit or miss situation.",waitress,negative,16,24
607,"At first glance this place seems a bit pricey for a hot dog joint , but at Bark you do n't just get your average hot dog .",hot dog,positive,113,121
608,"Go in, take a deep breath and expect great food, fairly priced with just about the worst service in North Jersey!",food,positive,43,47
609,"The bartender has a nasty attitude, and it took a party of two 1 1/2 hours to get seated while party after party of the hosts 'friends' were given seating immediately.",seating immediately,positive,147,166
610,"We were able to reserve a spot at the chef tasting bar with Morimoto who actually called in sick that night, but we were still charged full price.",price,negative,140,145
611,"Two curiosities: on my last two visits, the salad's lettuce had clearly seen better days, and on my last visit, I was told that I couldn't have coffee at the end of the meal (we were asked to go next door!)",coffee,neutral,144,150
612,"The cool thing about the 3 course price fix is that there is no special or limited menu, you can order ANY app, ANY entree and ANY Dessert.",course price,neutral,27,39
613,"If you like deep dish, you may be disappointed, as Grimaldi's only does thin crust, but if you want the best New York pizza, come here.",dish,neutral,17,21
614,"Yes it's pricey for counter service, sawdust floors and deafening chatter but the pastrami makes it all worth it.",pastrami,positive,82,90
615,"The menu was small, but the food delicious.",menu,negative,4,8
616,"Everything , from the soft bread , soggy salad , and 50 minute wait time , with an incredibly rude service to deliver below average food .",bread,negative,27,32
617,Good for casual dinner with jeans and sneakers.,casual dinner,positive,9,22
618,Also get the Onion Rings -- best we've ever had.,Onion Rings,positive,13,24
619,"When my husband and go there , we spend $ 60.00 ( have LOBSTER TAILS UMMMMM need I say more ) I ca n't say any more , it a place you 'll never forget If you never go , you 'll miss A Meal of your life time",place,positive,123,128
620,"The service was terrible- our waiter was unable to make any recommendations, mumbled the special and failed to check back during the course of our meal.",meal,neutral,147,151
621,We were fast to order the appetizer platter since we were very hungry.,appetizer platter,neutral,26,43
622,Were told we could not share one menu and called over the horrible manager.,menu,neutral,33,37
623,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",waiter,neutral,68,74
624,Food was OK - fish was cooked well .,Food,neutral,0,4
625,"The food was just OK , at least for what food was available .",food,negative,41,45
626,"Had a terrible time making a reservation and when we arrived they still had the table count wrong, and that was after 5 phone calls!",table,negative,80,85
627,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive,35,39
628,Diner food at bistro prices is a bummer....,food,negative,6,10
629,"We waited forever for our orders, our drinks came out AFTER our food, we never got refills on water, we had to ask like three times for extra dressing, and our waiter was rude.",waiter,negative,160,166
630,I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,pizza,positive,61,66
631,the waitress was not attentive at all and we had to keep getting the attention of the water servers to get more drinks.,servers,neutral,92,99
632,"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",dinner,neutral,14,20
633,"The calamari salad was great while the lamb ribs were fat, fattier and fattiest.",lamb ribs,negative,39,48
634,"As for the food, it is way too rich/greasy, whether it was the calamari or grilled chicken.",food,negative,11,15
635,The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.,waiters,negative,4,11
636,My girlfriend asked the bartender what kind of wine they had and since she couldn't hear she leaned on the bar to get closer to him and he made a face and told her not to get near him.,bartender,negative,24,33
637,"Get the Steak, get the Ham Fried Rice, Get the Braised Fish, Get anything Pork and Ham, Appetizers are good too.",Appetizers,positive,88,98
638,"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.",dinner,neutral,13,19
639,"Yes, the wait is long and ridiculous as times, especially as you watch others gobble down their food.",food,neutral,96,100
640,"Upon arrival I attempted to give a waiter my name (there doesn't seem to be a hostess) and tell him I had a 9pm reservation, but was told to just go get in line and wait for a table.",waiter,negative,35,41
641,I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,lunch specials,positive,99,113
642,"Id say a little better than most Thai Ive eaten, and the menu had an astounding selection, which isnt bad for such a reasonable price.",selection,positive,80,89
643,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",waiter,negative,29,35
644,Thanks Bloom 's for a lovely trip .,Bloom 's,positive,7,16
645,"We didn't even see a menu, as our waiter described both the specials and the main dishes.",waiter,positive,34,40
646,I'm still mad that i had to pay for lousy food.,food,negative,42,46
647,not having a menu was rather strange at first but the food was superb.,food,positive,54,58
648,"As soon as he sat, a waiter came over not once but twice, the first time to suggest he move to the bar b/c our large booth didn't accomodate an extra person, the second time to insist he move.",waiter,negative,21,27
649,"Service is not exactly five star , but thats not really a big deal .",Service,neutral,0,7
650,"Since we already have our drinks there is no choice, so we are forced to pay full price.",drinks,neutral,26,32
651,We did not get asked how I meal was nor did we get to our refill on waters until pretty much after the steak was finished.,meal,neutral,27,31
652,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.",place,positive,5,10
653,"It's very cheap, food is great you can bring your own bottle of wine (saves sooo much money) The waiters will uncork it bring you glasses too !",food,positive,17,21
654,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty .,lawns,positive,46,51
655,the setup is cool with pool table and chill area in front and dining on side and back.,dining,neutral,62,68
656,The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,4,21
657,"The place wasn't packed, but there was a bar scene and a few salsa dancers who strutted their stuff on the dancefloor.",bar scene,neutral,41,50
658,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,workers,neutral,4,11
659,"A cheap eat for NYC , but not for dosa .",eat,positive,8,11
660,"The menu, which combines pan-Asian influences, offers a wide range of stir-fries and noodle dishes, with several varieties of momo (Tibetan dumplings) as highlights.",range,positive,61,66
661,People waiting for tables stand at a drink rail next to large windows which open out over a leafy garden in the summertime.,waiting,neutral,7,14
662,"The decor was pleasant, but the tables were way too much crowded for a restaurant of this presumptive caliber.",decor,positive,4,9
663,"Horrible service, below average cuisine, asked to leave the table before finishing our wine, and forced to have our port at the bar.",service,negative,9,16
664,For dessert the waiter reccomended his favorite which was a Torreja.,dessert,neutral,4,11
665,Since my first dinner I have had the chance to have brunch at Orsay 3x.,dinner,neutral,15,21
666,"During dinner, we sat drinkless once again, as the server and owner never checked on us.",owner,negative,62,67
667,Those waiting inside to get a free table and waitresses carlessly walking by only served to make matters worse.,waiting,neutral,6,13
668,"On the other hand , if you are not fooled easily , you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse , and food that will outshine in presentaion , taste , choice , quality and quantity .",food,negative,169,173
669,"After making our party wait for about an hour past our reservation time (which we chalked up to it being a busy Friday night), they gave us a wobbly makeshift table that was set up in the path of the staff rushing out of the kitchen.",reservation time,neutral,55,71
670,"Not only did it take them 45 minutes to serve a salad, when we complained, the manager was abusive, told us to get out and literally started clearing the table while we were still eating.",manager,negative,79,86
671,The prices and ambience are especially great considering it 's in the West Village .,prices,positive,4,10
672,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else .,bagels,neutral,56,62
673,Waiting three hours before getting our entrees was a treat as well.,Waiting,negative,0,7
674,"After being treated like we were at Nobu by the hostess, our waitress brought us our check before we even asked for it and denied us a 2nd round of drinks because.",hostess,negative,48,55
675,"Spice is sleek , modern and cool with a menu that will not hurt your wallet .",menu,positive,40,44
676,"Although the food what adequate, the service was preposterous.",service,negative,37,44
677,"the kimchi and other sides were off, the rice had red bean mixed in, and the waitress gave us a double order of the bulgogi instead of two single orders of different meats.",waitress,negative,77,85
678,My tuna tatare was laden with salt and soy sauce - tasted like cheap chinese instead of great fish.,salt,negative,30,34
679,I had to wait quite a while to get my food and the waitress almost knocked me in the head with her tray.,waitress,negative,51,59
680,Simple comfort food and what hot and lage portions.,comfort food,positive,7,19
681,"Service was a little but flawed, (they brought us beers without the glasses brought the main course out before cleaning off the appetizers) but nothing that would ruin your evening.",Service,negative,0,7
682,"First, we waited 40 minutes for our food, but after a thrity minute wait, the waitress asked me to clarify what I had ordered (I ordered off their menu, with no changes).",waitress,negative,78,86
683,When I asked the waitress she told me it was because I ordered pancakes.,pancakes,neutral,63,71
684,"My advice: go the bathroom at home, and then go to Ginza for EXCELLENT sushi and service.",bathroom,neutral,18,26
685,i went in one day asking for a table for a group and was greeted by a very rude hostess.,hostess,negative,80,87
686,I forget the name of the dish but anyone going here must get the shrimp cooked in molases and rum.,dish,neutral,25,29
687,"That is a problem since we paid about 20 bucks a dish , and had to order 5 dishes to get a decent taste .",dish,negative,49,53
688,"Then I ordered a margarita,rocks w/ salt, the waitress' replied:I don't think we have salt What do you cook your food with?",food,neutral,113,117
689,"Love the scene first off - the place has a character and nice light to it . . very fortunate , location wise .",scene,positive,9,14
690,Xunta's tapas dishes were great though a little pricey for small plates.,tapas dishes,positive,8,20
